ce10	All antigens	All cell types	05	2265659
ce10	All antigens	Embryo	10	320483
ce10	TFs and others	Unclassified	20	33
hg19	RNA polymerase	Placenta	20	0
hg19	RNA polymerase	Placenta	50	0
hg19	RNA polymerase	Prostate	05	372088
hg19	RNA polymerase	Prostate	10	232784
hg19	RNA polymerase	Prostate	20	129723
hg19	RNA polymerase	Prostate	50	84348
hg19	RNA polymerase	Unclassified	05	0
hg19	RNA polymerase	Unclassified	10	0
hg19	RNA polymerase	Unclassified	20	0
hg19	RNA polymerase	Unclassified	50	0
ce10	TFs and others	Unclassified	50	24
hg19	RNA polymerase	Uterus	05	660330
hg19	RNA polymerase	Uterus	10	433412
hg19	RNA polymerase	Uterus	20	258671
hg19	RNA polymerase	Uterus	50	164327
hg19	Unclassified	All cell types	05	3346877
hg19	Unclassified	All cell types	10	1711582
hg19	Unclassified	All cell types	20	843377
hg19	Unclassified	All cell types	50	554694
hg19	Unclassified	Adipocyte	05	0
hg19	Unclassified	Adipocyte	10	0
ce10	RNA polymerase	All cell types	05	127887
hg19	Unclassified	Adipocyte	20	0
hg19	Unclassified	Adipocyte	50	0
hg19	Unclassified	Blood	05	1204546
hg19	Unclassified	Blood	10	502691
hg19	Unclassified	Blood	20	218045
hg19	Unclassified	Blood	50	131253
hg19	Unclassified	Bone	05	6064
hg19	Unclassified	Bone	10	1844
hg19	Unclassified	Bone	20	483
hg19	Unclassified	Bone	50	301
ce10	RNA polymerase	All cell types	10	61281
hg19	Unclassified	Breast	05	346120
hg19	Unclassified	Breast	10	165871
hg19	Unclassified	Breast	20	69071
hg19	Unclassified	Breast	50	42431
hg19	Unclassified	Cardiovascular	05	42533
hg19	Unclassified	Cardiovascular	10	5820
hg19	Unclassified	Cardiovascular	20	1261
hg19	Unclassified	Cardiovascular	50	614
hg19	Unclassified	Digestive tract	05	378310
hg19	Unclassified	Digestive tract	10	269687
ce10	RNA polymerase	All cell types	20	28719
hg19	Unclassified	Digestive tract	20	156742
hg19	Unclassified	Digestive tract	50	104366
hg19	Unclassified	Epidermis	05	2763
hg19	Unclassified	Epidermis	10	1205
hg19	Unclassified	Epidermis	20	361
hg19	Unclassified	Epidermis	50	126
hg19	Unclassified	Gonad	05	0
hg19	Unclassified	Gonad	10	0
hg19	Unclassified	Gonad	20	0
hg19	Unclassified	Gonad	50	0
ce10	RNA polymerase	All cell types	50	18212
hg19	Unclassified	Kidney	05	92355
hg19	Unclassified	Kidney	10	38873
hg19	Unclassified	Kidney	20	13534
hg19	Unclassified	Kidney	50	7197
hg19	Unclassified	Liver	05	59627
hg19	Unclassified	Liver	10	5280
hg19	Unclassified	Liver	20	449
hg19	Unclassified	Liver	50	162
hg19	Unclassified	Lung	05	84970
hg19	Unclassified	Lung	10	45016
ce10	RNA polymerase	Adult	05	26216
hg19	Unclassified	Lung	20	19012
hg19	Unclassified	Lung	50	9294
hg19	Unclassified	Muscle	05	17728
hg19	Unclassified	Muscle	10	9050
hg19	Unclassified	Muscle	20	3711
hg19	Unclassified	Muscle	50	2406
hg19	Unclassified	Neural	05	83333
hg19	Unclassified	Neural	10	37998
hg19	Unclassified	Neural	20	14275
hg19	Unclassified	Neural	50	7440
ce10	RNA polymerase	Adult	10	13092
hg19	Unclassified	No description	05	0
hg19	Unclassified	No description	10	0
hg19	Unclassified	No description	20	0
hg19	Unclassified	No description	50	0
hg19	Unclassified	Others	05	0
hg19	Unclassified	Others	10	0
hg19	Unclassified	Others	20	0
hg19	Unclassified	Others	50	0
hg19	Unclassified	Pluripotent stem cell	05	405393
hg19	Unclassified	Pluripotent stem cell	10	283868
ce10	RNA polymerase	Adult	20	6500
hg19	Unclassified	Pluripotent stem cell	20	185826
hg19	Unclassified	Pluripotent stem cell	50	156959
hg19	Unclassified	Pancreas	05	6220
hg19	Unclassified	Pancreas	10	2147
hg19	Unclassified	Pancreas	20	581
hg19	Unclassified	Pancreas	50	254
hg19	Unclassified	Placenta	05	0
hg19	Unclassified	Placenta	10	0
hg19	Unclassified	Placenta	20	0
hg19	Unclassified	Placenta	50	0
ce10	RNA polymerase	Adult	50	4106
hg19	Unclassified	Prostate	05	858
hg19	Unclassified	Prostate	10	431
hg19	Unclassified	Prostate	20	149
hg19	Unclassified	Prostate	50	86
hg19	Unclassified	Unclassified	05	108024
hg19	Unclassified	Unclassified	10	51892
hg19	Unclassified	Unclassified	20	26119
hg19	Unclassified	Unclassified	50	12766
hg19	Unclassified	Uterus	05	508033
hg19	Unclassified	Uterus	10	289909
ce10	All antigens	Embryo	20	145203
ce10	RNA polymerase	Embryo	05	12192
hg19	Unclassified	Uterus	20	133758
hg19	Unclassified	Uterus	50	79039
mm9	All antigens	All cell types	05	130461676
mm9	All antigens	All cell types	10	74456689
mm9	All antigens	All cell types	20	38314116
mm9	All antigens	All cell types	50	23456705
mm9	All antigens	Adipocyte	05	1581071
mm9	All antigens	Adipocyte	10	848134
mm9	All antigens	Adipocyte	20	397592
mm9	All antigens	Adipocyte	50	219356
ce10	RNA polymerase	Embryo	10	7705
mm9	All antigens	Blood	05	40636333
mm9	All antigens	Blood	10	23409225
mm9	All antigens	Blood	20	11926036
mm9	All antigens	Blood	50	7469244
mm9	All antigens	Bone	05	2287507
mm9	All antigens	Bone	10	1324860
mm9	All antigens	Bone	20	621518
mm9	All antigens	Bone	50	367443
mm9	All antigens	Breast	05	2343303
mm9	All antigens	Breast	10	1386404
ce10	RNA polymerase	Embryo	20	5208
mm9	All antigens	Breast	20	728340
mm9	All antigens	Breast	50	412758
mm9	All antigens	Cardiovascular	05	1864556
mm9	All antigens	Cardiovascular	10	1078887
mm9	All antigens	Cardiovascular	20	565341
mm9	All antigens	Cardiovascular	50	333825
mm9	All antigens	Digestive tract	05	1796386
mm9	All antigens	Digestive tract	10	1060968
mm9	All antigens	Digestive tract	20	509734
mm9	All antigens	Digestive tract	50	268117
ce10	RNA polymerase	Embryo	50	4351
mm9	All antigens	Embryonic fibroblast	05	8450320
mm9	All antigens	Embryonic fibroblast	10	4887756
mm9	All antigens	Embryonic fibroblast	20	2563363
mm9	All antigens	Embryonic fibroblast	50	1553430
mm9	All antigens	Embryo	05	5784984
mm9	All antigens	Embryo	10	3071686
mm9	All antigens	Embryo	20	1575778
mm9	All antigens	Embryo	50	921660
mm9	All antigens	Epidermis	05	286947
mm9	All antigens	Epidermis	10	104905
ce10	RNA polymerase	Larvae	05	44992
mm9	All antigens	Epidermis	20	36455
mm9	All antigens	Epidermis	50	15999
mm9	All antigens	Gonad	05	4252844
mm9	All antigens	Gonad	10	2731517
mm9	All antigens	Gonad	20	1393673
mm9	All antigens	Gonad	50	635861
mm9	All antigens	Kidney	05	891392
mm9	All antigens	Kidney	10	573354
mm9	All antigens	Kidney	20	331867
mm9	All antigens	Kidney	50	202570
ce10	RNA polymerase	Larvae	10	20160
mm9	All antigens	Liver	05	10848995
mm9	All antigens	Liver	10	6677698
mm9	All antigens	Liver	20	3840150
mm9	All antigens	Liver	50	2843466
mm9	All antigens	Lung	05	955837
mm9	All antigens	Lung	10	560666
mm9	All antigens	Lung	20	298344
mm9	All antigens	Lung	50	166710
mm9	All antigens	Muscle	05	1970081
mm9	All antigens	Muscle	10	1077815
ce10	RNA polymerase	Larvae	20	9140
mm9	All antigens	Muscle	20	551849
mm9	All antigens	Muscle	50	345110
mm9	All antigens	Neural	05	7104823
mm9	All antigens	Neural	10	3905249
mm9	All antigens	Neural	20	1972909
mm9	All antigens	Neural	50	1138232
mm9	All antigens	No description	05	8592557
mm9	All antigens	No description	10	4919697
mm9	All antigens	No description	20	2525581
mm9	All antigens	No description	50	1497138
ce10	RNA polymerase	Larvae	50	5945
mm9	All antigens	Others	05	2201925
mm9	All antigens	Others	10	1229355
mm9	All antigens	Others	20	628362
mm9	All antigens	Others	50	351953
mm9	All antigens	Pluripotent stem cell	05	24881536
mm9	All antigens	Pluripotent stem cell	10	13471440
mm9	All antigens	Pluripotent stem cell	20	6668372
mm9	All antigens	Pluripotent stem cell	50	3889855
mm9	All antigens	Pancreas	05	398079
mm9	All antigens	Pancreas	10	247963
ce10	RNA polymerase	Unclassified	05	44487
mm9	All antigens	Pancreas	20	135504
mm9	All antigens	Pancreas	50	93612
mm9	All antigens	Placenta	05	664582
mm9	All antigens	Placenta	10	293439
mm9	All antigens	Placenta	20	151686
mm9	All antigens	Placenta	50	120455
mm9	All antigens	Prostate	05	790736
mm9	All antigens	Prostate	10	418759
mm9	All antigens	Prostate	20	189762
mm9	All antigens	Prostate	50	112379
ce10	RNA polymerase	Unclassified	10	20324
mm9	All antigens	Spleen	05	556579
mm9	All antigens	Spleen	10	383963
mm9	All antigens	Spleen	20	248653
mm9	All antigens	Spleen	50	184111
mm9	All antigens	Unclassified	05	978656
mm9	All antigens	Unclassified	10	593925
mm9	All antigens	Unclassified	20	346349
mm9	All antigens	Unclassified	50	240785
mm9	All antigens	Uterus	05	341647
mm9	All antigens	Uterus	10	199024
ce10	All antigens	Embryo	50	70298
ce10	RNA polymerase	Unclassified	20	7871
mm9	All antigens	Uterus	20	106898
mm9	All antigens	Uterus	50	72636
mm9	DNase-seq	All cell types	05	9329676
mm9	DNase-seq	All cell types	10	5882752
mm9	DNase-seq	All cell types	20	2970438
mm9	DNase-seq	All cell types	50	1112969
mm9	DNase-seq	Adipocyte	05	170598
mm9	DNase-seq	Adipocyte	10	96660
mm9	DNase-seq	Adipocyte	20	33846
mm9	DNase-seq	Adipocyte	50	4881
ce10	RNA polymerase	Unclassified	50	3810
mm9	DNase-seq	Blood	05	1699670
mm9	DNase-seq	Blood	10	1143022
mm9	DNase-seq	Blood	20	608423
mm9	DNase-seq	Blood	50	211019
mm9	DNase-seq	Bone	05	0
mm9	DNase-seq	Bone	10	0
mm9	DNase-seq	Bone	20	0
mm9	DNase-seq	Bone	50	0
mm9	DNase-seq	Breast	05	984706
mm9	DNase-seq	Breast	10	652043
ce10	Unclassified	All cell types	05	33064
mm9	DNase-seq	Breast	20	371703
mm9	DNase-seq	Breast	50	199651
mm9	DNase-seq	Cardiovascular	05	253816
mm9	DNase-seq	Cardiovascular	10	162770
mm9	DNase-seq	Cardiovascular	20	72363
mm9	DNase-seq	Cardiovascular	50	10956
mm9	DNase-seq	Digestive tract	05	182878
mm9	DNase-seq	Digestive tract	10	104497
mm9	DNase-seq	Digestive tract	20	49135
mm9	DNase-seq	Digestive tract	50	24576
ce10	Unclassified	All cell types	10	14387
mm9	DNase-seq	Embryonic fibroblast	05	837030
mm9	DNase-seq	Embryonic fibroblast	10	515376
mm9	DNase-seq	Embryonic fibroblast	20	282668
mm9	DNase-seq	Embryonic fibroblast	50	167709
mm9	DNase-seq	Embryo	05	967061
mm9	DNase-seq	Embryo	10	573875
mm9	DNase-seq	Embryo	20	262417
mm9	DNase-seq	Embryo	50	66667
mm9	DNase-seq	Epidermis	05	294
mm9	DNase-seq	Epidermis	10	30
ce10	Unclassified	All cell types	20	5006
mm9	DNase-seq	Epidermis	20	10
mm9	DNase-seq	Epidermis	50	7
mm9	DNase-seq	Gonad	05	0
mm9	DNase-seq	Gonad	10	0
mm9	DNase-seq	Gonad	20	0
mm9	DNase-seq	Gonad	50	0
mm9	DNase-seq	Kidney	05	311775
mm9	DNase-seq	Kidney	10	202181
mm9	DNase-seq	Kidney	20	95510
mm9	DNase-seq	Kidney	50	18933
ce10	Unclassified	All cell types	50	1348
mm9	DNase-seq	Liver	05	822467
mm9	DNase-seq	Liver	10	535567
mm9	DNase-seq	Liver	20	289505
mm9	DNase-seq	Liver	50	126974
mm9	DNase-seq	Lung	05	280163
mm9	DNase-seq	Lung	10	165683
mm9	DNase-seq	Lung	20	61454
mm9	DNase-seq	Lung	50	5041
mm9	DNase-seq	Muscle	05	87402
mm9	DNase-seq	Muscle	10	55435
ce10	Unclassified	Adult	05	15021
mm9	DNase-seq	Muscle	20	27705
mm9	DNase-seq	Muscle	50	7584
mm9	DNase-seq	Neural	05	684259
mm9	DNase-seq	Neural	10	423936
mm9	DNase-seq	Neural	20	205173
mm9	DNase-seq	Neural	50	55334
mm9	DNase-seq	No description	05	251500
mm9	DNase-seq	No description	10	155826
mm9	DNase-seq	No description	20	88495
mm9	DNase-seq	No description	50	56299
ce10	Unclassified	Adult	10	6134
mm9	DNase-seq	Others	05	485104
mm9	DNase-seq	Others	10	319376
mm9	DNase-seq	Others	20	165717
mm9	DNase-seq	Others	50	48915
mm9	DNase-seq	Pluripotent stem cell	05	1264109
mm9	DNase-seq	Pluripotent stem cell	10	743615
mm9	DNase-seq	Pluripotent stem cell	20	336899
mm9	DNase-seq	Pluripotent stem cell	50	98621
mm9	DNase-seq	Pancreas	05	0
mm9	DNase-seq	Pancreas	10	0
ce10	Unclassified	Adult	20	2024
mm9	DNase-seq	Pancreas	20	0
mm9	DNase-seq	Pancreas	50	0
mm9	DNase-seq	Placenta	05	64
mm9	DNase-seq	Placenta	10	11
mm9	DNase-seq	Placenta	20	0
mm9	DNase-seq	Placenta	50	0
mm9	DNase-seq	Prostate	05	0
mm9	DNase-seq	Prostate	10	0
mm9	DNase-seq	Prostate	20	0
mm9	DNase-seq	Prostate	50	0
ce10	Unclassified	Adult	50	763
mm9	DNase-seq	Spleen	05	46780
mm9	DNase-seq	Spleen	10	32849
mm9	DNase-seq	Spleen	20	19415
mm9	DNase-seq	Spleen	50	9802
mm9	DNase-seq	Unclassified	05	0
mm9	DNase-seq	Unclassified	10	0
mm9	DNase-seq	Unclassified	20	0
mm9	DNase-seq	Unclassified	50	0
mm9	DNase-seq	Uterus	05	0
mm9	DNase-seq	Uterus	10	0
ce10	All antigens	Larvae	05	1169716
ce10	Unclassified	Embryo	05	16423
mm9	DNase-seq	Uterus	20	0
mm9	DNase-seq	Uterus	50	0
mm9	Histone	All cell types	05	55199015
mm9	Histone	All cell types	10	30978151
mm9	Histone	All cell types	20	15741180
mm9	Histone	All cell types	50	8965443
mm9	Histone	Adipocyte	05	796426
mm9	Histone	Adipocyte	10	394053
mm9	Histone	Adipocyte	20	171328
mm9	Histone	Adipocyte	50	84213
ce10	Unclassified	Embryo	10	7541
mm9	Histone	Blood	05	18188779
mm9	Histone	Blood	10	9922271
mm9	Histone	Blood	20	4719738
mm9	Histone	Blood	50	2617804
mm9	Histone	Bone	05	1466159
mm9	Histone	Bone	10	808894
mm9	Histone	Bone	20	339100
mm9	Histone	Bone	50	179064
mm9	Histone	Breast	05	359473
mm9	Histone	Breast	10	194417
ce10	Unclassified	Embryo	20	2803
mm9	Histone	Breast	20	81890
mm9	Histone	Breast	50	36986
mm9	Histone	Cardiovascular	05	961549
mm9	Histone	Cardiovascular	10	571775
mm9	Histone	Cardiovascular	20	329906
mm9	Histone	Cardiovascular	50	212320
mm9	Histone	Digestive tract	05	1405003
mm9	Histone	Digestive tract	10	834759
mm9	Histone	Digestive tract	20	396737
mm9	Histone	Digestive tract	50	200160
ce10	Unclassified	Embryo	50	585
mm9	Histone	Embryonic fibroblast	05	3303341
mm9	Histone	Embryonic fibroblast	10	2017040
mm9	Histone	Embryonic fibroblast	20	1110927
mm9	Histone	Embryonic fibroblast	50	602820
mm9	Histone	Embryo	05	3173389
mm9	Histone	Embryo	10	1758939
mm9	Histone	Embryo	20	1006267
mm9	Histone	Embryo	50	659951
mm9	Histone	Epidermis	05	202180
mm9	Histone	Epidermis	10	76173
ce10	Unclassified	Larvae	05	1620
mm9	Histone	Epidermis	20	26985
mm9	Histone	Epidermis	50	10195
mm9	Histone	Gonad	05	3393237
mm9	Histone	Gonad	10	2240449
mm9	Histone	Gonad	20	1130675
mm9	Histone	Gonad	50	466272
mm9	Histone	Kidney	05	217538
mm9	Histone	Kidney	10	119090
mm9	Histone	Kidney	20	68574
mm9	Histone	Kidney	50	48948
ce10	Unclassified	Larvae	10	712
mm9	Histone	Liver	05	1915677
mm9	Histone	Liver	10	1046204
mm9	Histone	Liver	20	613496
mm9	Histone	Liver	50	439656
mm9	Histone	Lung	05	460249
mm9	Histone	Lung	10	259638
mm9	Histone	Lung	20	157981
mm9	Histone	Lung	50	100012
mm9	Histone	Muscle	05	733925
mm9	Histone	Muscle	10	372548
ce10	Unclassified	Larvae	20	179
mm9	Histone	Muscle	20	174974
mm9	Histone	Muscle	50	93656
mm9	Histone	Neural	05	3825516
mm9	Histone	Neural	10	2049405
mm9	Histone	Neural	20	1037163
mm9	Histone	Neural	50	596728
mm9	Histone	No description	05	9410
mm9	Histone	No description	10	1446
mm9	Histone	No description	20	115
mm9	Histone	No description	50	64
ce10	Unclassified	Larvae	50	0
mm9	Histone	Others	05	958588
mm9	Histone	Others	10	534235
mm9	Histone	Others	20	293912
mm9	Histone	Others	50	204220
mm9	Histone	Pluripotent stem cell	05	12223326
mm9	Histone	Pluripotent stem cell	10	6899382
mm9	Histone	Pluripotent stem cell	20	3581547
mm9	Histone	Pluripotent stem cell	50	2063033
mm9	Histone	Pancreas	05	31871
mm9	Histone	Pancreas	10	22585
ce10	Unclassified	Unclassified	05	0
mm9	Histone	Pancreas	20	9713
mm9	Histone	Pancreas	50	1081
mm9	Histone	Placenta	05	509608
mm9	Histone	Placenta	10	193048
mm9	Histone	Placenta	20	82601
mm9	Histone	Placenta	50	56847
mm9	Histone	Prostate	05	523111
mm9	Histone	Prostate	10	280893
mm9	Histone	Prostate	20	132553
mm9	Histone	Prostate	50	79551
ce10	Unclassified	Unclassified	10	0
mm9	Histone	Spleen	05	208925
mm9	Histone	Spleen	10	141679
mm9	Histone	Spleen	20	95754
mm9	Histone	Spleen	50	75448
mm9	Histone	Unclassified	05	331735
mm9	Histone	Unclassified	10	239228
mm9	Histone	Unclassified	20	179244
mm9	Histone	Unclassified	50	136414
mm9	Histone	Uterus	05	0
mm9	Histone	Uterus	10	0
ce10	All antigens	Larvae	10	602078
ce10	Unclassified	Unclassified	20	0
mm9	Histone	Uterus	20	0
mm9	Histone	Uterus	50	0
mm9	Input control	All cell types	05	4870151
mm9	Input control	All cell types	10	2250748
mm9	Input control	All cell types	20	971476
mm9	Input control	All cell types	50	467718
mm9	Input control	Adipocyte	05	8701
mm9	Input control	Adipocyte	10	4468
mm9	Input control	Adipocyte	20	2341
mm9	Input control	Adipocyte	50	1477
ce10	Unclassified	Unclassified	50	0
mm9	Input control	Blood	05	1861143
mm9	Input control	Blood	10	992252
mm9	Input control	Blood	20	485088
mm9	Input control	Blood	50	179982
mm9	Input control	Bone	05	6000
mm9	Input control	Bone	10	2456
mm9	Input control	Bone	20	1352
mm9	Input control	Bone	50	1025
mm9	Input control	Breast	05	22439
mm9	Input control	Breast	10	10705
dm3	All antigens	All cell types	05	8844139
mm9	Input control	Breast	20	5264
mm9	Input control	Breast	50	3649
mm9	Input control	Cardiovascular	05	166997
mm9	Input control	Cardiovascular	10	78115
mm9	Input control	Cardiovascular	20	28528
mm9	Input control	Cardiovascular	50	16053
mm9	Input control	Digestive tract	05	16431
mm9	Input control	Digestive tract	10	9148
mm9	Input control	Digestive tract	20	4625
mm9	Input control	Digestive tract	50	3177
dm3	All antigens	All cell types	10	5488981
mm9	Input control	Embryonic fibroblast	05	203927
mm9	Input control	Embryonic fibroblast	10	85493
mm9	Input control	Embryonic fibroblast	20	32185
mm9	Input control	Embryonic fibroblast	50	18960
mm9	Input control	Embryo	05	392733
mm9	Input control	Embryo	10	120650
mm9	Input control	Embryo	20	39126
mm9	Input control	Embryo	50	17952
mm9	Input control	Epidermis	05	14116
mm9	Input control	Epidermis	10	4892
dm3	All antigens	All cell types	20	3150555
mm9	Input control	Epidermis	20	1848
mm9	Input control	Epidermis	50	1087
mm9	Input control	Gonad	05	137361
mm9	Input control	Gonad	10	54374
mm9	Input control	Gonad	20	18487
mm9	Input control	Gonad	50	8681
mm9	Input control	Kidney	05	7095
mm9	Input control	Kidney	10	4032
mm9	Input control	Kidney	20	2139
mm9	Input control	Kidney	50	1366
dm3	All antigens	All cell types	50	1871495
mm9	Input control	Liver	05	144815
mm9	Input control	Liver	10	59004
mm9	Input control	Liver	20	28307
mm9	Input control	Liver	50	17069
mm9	Input control	Lung	05	8258
mm9	Input control	Lung	10	5081
mm9	Input control	Lung	20	2487
mm9	Input control	Lung	50	1507
mm9	Input control	Muscle	05	60861
mm9	Input control	Muscle	10	24505
dm3	All antigens	Adult	05	1139988
mm9	Input control	Muscle	20	10782
mm9	Input control	Muscle	50	7164
mm9	Input control	Neural	05	434662
mm9	Input control	Neural	10	198807
mm9	Input control	Neural	20	75502
mm9	Input control	Neural	50	40352
mm9	Input control	No description	05	0
mm9	Input control	No description	10	0
mm9	Input control	No description	20	0
mm9	Input control	No description	50	0
dm3	All antigens	Adult	10	729309
mm9	Input control	Others	05	137195
mm9	Input control	Others	10	57923
mm9	Input control	Others	20	20148
mm9	Input control	Others	50	10200
mm9	Input control	Pluripotent stem cell	05	984402
mm9	Input control	Pluripotent stem cell	10	405177
mm9	Input control	Pluripotent stem cell	20	152866
